"IP";"OS"
"10.117.97.45";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

"10.117.97.46";""

"10.117.97.53";"Linux 3.10 - 3.12|Linux 4.4|Linux 4.9|Linux 3.2 - 3.8|Linux 4.0|Linux 3.11 - 4.1|Linux 2.6.32 - 3.0|Linux 2.6.32|Linux 3.10 - 3.16|Linux 2.6.39"

"10.117.97.55";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.56";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.57";"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.60";"VMware ESXi 6.0.0|VMware ESXi 5.0 - 5.5|VMware ESXi 5.5|VMware ESXi 4.1|Crestron XPanel control system|FreeBSD 7.0-RELEASE-p1 - 10.0-CURRENT|FreeBSD 5.3 - 5.5|FreeBSD 8.0-RELEASE|FreeNAS 0.686 (FreeBSD 6.2-RELEASE) or VMware ESXi Server 3.0 - 4.0|VMware ESX Server 4.0.1"

"10.117.97.61";"VMware ESXi 6.0.0|VMware ESXi 5.0 - 5.5|VMware ESXi 5.5|VMware ESXi 4.1|Crestron XPanel control system|FreeBSD 7.0-RELEASE-p1 - 10.0-CURRENT|FreeBSD 5.3 - 5.5|FreeBSD 8.0-RELEASE|FreeNAS 0.686 (FreeBSD 6.2-RELEASE) or VMware ESXi Server 3.0 - 4.0|VMware ESX Server 4.0.1"

"10.117.97.62";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Huawei CloudEngine CE6800 switch|Cisco ASR 9010 router|Huawei S9300 switch|Huawei VRP 5.160|3Com SuperStack 3 Switch 3870|Cisco 1841 router (IOS 12)"

"10.117.97.63";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco ASR 9010 router"

"10.117.97.65";"Linux 3.10 - 4.11|Linux 3.2 - 4.9"

"10.117.97.67";"3Com SuperStack 3 Switch 3870|Epson Stylus Pro 400 printer|Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Enterasys Matrix N7 switch|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch|SMC TigerStack III 6824M switch|3Com Baseline Switch 2226-SFP Plus|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch"

"10.117.97.68";"3Com SuperStack 3 Switch 3870|Epson Stylus Pro 400 printer|Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Enterasys Matrix N7 switch|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch|SMC TigerStack III 6824M switch|3Com Baseline Switch 2226-SFP Plus|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch"

"10.117.97.70";"3Com SuperStack 3 Switch 3870|Epson Stylus Pro 400 printer|Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Enterasys Matrix N7 switch|3Com SuperStack 3 Switch 3812|Dell PowerConnect 3248 switch|SMC TigerStack III 6824M switch|3Com Baseline Switch 2226-SFP Plus|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch"

"10.117.97.71";"3Com 4200G or Huawei Quidway S5600 switch|Huawei AP6050DN WAP|Huawei VRP 3 switch|3Com Switch 4200G|Huawei MA5200 router|3Com 4500G switch|SMC SMC8014WG WAP|H3C Comware 5.20|3Com SuperStack 3 Switch 4500|H3C E126A or S3100-8T-SI switch (Comware 3.10)"

"10.117.97.76";"Huawei AP6050DN WAP|Huawei VRP 3 switch|Huawei VRP 5.160|Huawei S9300 switch|3Com 4200G or Huawei Quidway S5600 switch|Huawei CloudEngine CE6800 switch|Huawei S2326 switch|3Com Switch 4200G|TiVo series 1 (Sony SVR-2000 or Philips HDR112) (Linux 2.1.24-TiVo-2.5, PowerPC)|Epson Stylus Pro 400 printer"

"10.117.97.79";"Huawei AP6050DN WAP|Huawei VRP 3 switch|Huawei VRP 5.160|Huawei S9300 switch|3Com 4200G or Huawei Quidway S5600 switch|Huawei S2326 switch|Huawei CloudEngine CE6800 switch|3Com Switch 4200G|Netopia 2247 ADSL router|TiVo series 1 (Sony SVR-2000 or Philips HDR112) (Linux 2.1.24-TiVo-2.5, PowerPC)"

"10.117.97.80";"Microsoft Windows XP SP2 or SP3"

"10.117.97.82";"Huawei CloudEngine CE6800 switch|Huawei VRP 8.100|Huawei AP6050DN WAP|Huawei VRP 5.160|Huawei VRP 3 switch|Netopia 2247 ADSL router|Nortel BNT Ethernet switch module|Cisco C860 router (IOS 15.2)|HP GbW2c Ethernet Blade Switch|NEC UNIVERGE SV8100 PBX"

"10.117.97.83";"Huawei AP6050DN WAP|Huawei VRP 3 switch|Huawei VRP 5.160|Huawei S9300 switch|3Com 4200G or Huawei Quidway S5600 switch|Huawei S2326 switch|Huawei CloudEngine CE6800 switch|3Com Switch 4200G|Netopia 2247 ADSL router|TiVo series 1 (Sony SVR-2000 or Philips HDR112) (Linux 2.1.24-TiVo-2.5, PowerPC)"

"10.117.97.84";""

"10.117.97.85";"Sun Solaris 9 or 10, or OpenSolaris 2009.06 snv_111b"

"10.117.97.86";"Microsoft Windows Vista or Windows 7 SP1"

"10.117.97.87";"Netgear WGN824 v2 DSL router"

